problem_id,rating,tags
2172_N,2800.0,"['constructive algorithms', 'graphs', 'implementation']"
2172_M,1300.0,"['graphs', 'shortest paths']"
2172_L,2300.0,"['dp', 'implementation']"
2172_K,2100.0,"['implementation', 'strings']"
2172_J,2300.0,"['data structures', 'divide and conquer', 'dsu']"
2172_I,2000.0,['geometry']
2172_H,2500.0,"['hashing', 'string suffix structures', 'strings']"
2172_G,3300.0,[]
2172_F,1600.0,"['graphs', 'greedy', 'math']"
2172_E,1200.0,['implementation']
2172_D,3100.0,"['combinatorics', 'dp']"
2172_C,3100.0,"['binary search', 'greedy']"
2172_B,1800.0,"['greedy', 'sortings']"
2172_A,800.0,['implementation']
2171_H,2400.0,"['binary search', 'data structures', 'dp', 'sortings']"
2171_G,2000.0,"['bitmasks', 'combinatorics', 'greedy', 'math']"
2171_F,1600.0,"['binary search', 'constructive algorithms', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'trees']"
2171_E,2000.0,"['constructive algorithms', 'greedy', 'number theory']"
2171_D,1400.0,"['binary search', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'trees']"
2171_C2,1400.0,"['bitmasks', 'games', 'greedy']"
2171_C1,1100.0,"['bitmasks', 'games', 'greedy']"
2171_B,900.0,['math']
2171_A,800.0,"['brute force', 'math']"
2169_F,2700.0,"['combinatorics', 'dp', 'fft', 'math']"
2169_E,2400.0,"['dp', 'greedy']"
2169_D2,2100.0,"['binary search', 'divide and conquer', 'greedy', 'implementation', 'math', 'number theory']"
2169_D1,1500.0,"['binary search', 'implementation', 'math', 'number theory']"
2169_C,1300.0,"['dp', 'greedy', 'math', 'two pointers']"
2169_B,1100.0,"['greedy', 'implementation']"
2169_A,900.0,"['greedy', 'implementation']"
2167_G,1600.0,"['data structures', 'dp']"
2167_F,1600.0,"['dfs and similar', 'dp', 'math', 'trees']"
2167_E,1600.0,"['binary search', 'data structures', 'geometry', 'greedy', 'implementation']"
2167_D,1000.0,"['brute force', 'implementation', 'math', 'number theory']"
2167_C,800.0,"['constructive algorithms', 'greedy', 'implementation', 'sortings']"
2167_B,800.0,"['sortings', 'strings']"
2167_A,800.0,"['math', 'sortings']"
2166_B,900.0,['math']
2166_A,800.0,"['brute force', 'greedy', 'strings']"
2165_F,3500.0,"['data structures', 'greedy']"
2165_E,3200.0,"['constructive algorithms', 'dp', 'greedy', 'trees']"
2165_D,2500.0,"['graph matchings', 'greedy']"
2165_C,2000.0,"['bitmasks', 'greedy', 'math']"
2165_B,1900.0,"['dp', 'math', 'sortings']"
2165_A,1300.0,"['constructive algorithms', 'greedy']"
